-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,5,5,5,5,5,5,5,5,5,5,9
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,12,12,-1,-1,-1,-1,-1,-1,-1,12,12,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,12,-1,14,-1,-1,-1,-1,-1,-1,19,12,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,7
-1,-1,-1,-1,-1,8,5,5,5,5,9,-1,6,12,12,-1,-1,-1,-1,-1,-1,-1,12,12,7
-1,-1,-1,-1,8,3,-1,14,-1,14,7,-1,10,4,2,12,12,14,-1,-1,12,12,0,4,11
-1,-1,-1,-1,6,-1,12,-1,12,-1,1,5,5,5,3,-1,12,-1,-1,14,12,17,7,-1,-1
-1,-1,-1,-1,6,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1
-1,-1,-1,-1,6,-1,12,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1
-1,-1,-1,-1,10,2,-1,14,-1,14,0,4,4,4,2,-1,-1,-1,-1,-1,-1,-1,7,-1,-1
-1,-1,-1,-1,-1,10,4,4,4,4,11,-1,-1,-1,10,4,4,4,4,4,4,4,11,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
